Date,MaxTemp,MinTemp,AvgTemp,DepartureTemp,HDD,CDD,Precipitation,NewSnow,SnowDepth
2001-01-01,24,5,14.5,-9.9,50,0,0,0,17
2001-01-02,19,5,12,-12.3,53,0,0,0,15
2001-01-03,28,7,17.5,-6.7,47,0,T,T,14
2001-01-04,30,19,24.5,0.4,40,0,0,0,14
2001-01-05,36,21,28.5,4.5,36,0,0,0,13
2001-01-06,33,17,25,1.1,40,0,0,0,12
2001-01-07,34,21,27.5,3.6,37,0,0,0,12
2001-01-08,26,12,19,-4.8,46,0,T,T,12
2001-01-09,23,10,16.5,-7.2,48,0,0,0,12
2001-01-10,34,18,26,2.3,39,0,0,0,11
2001-01-11,39,18,28.5,4.9,36,0,0,0,11
2001-01-12,37,23,30,6.4,35,0,0,0,11
2001-01-13,36,32,34,10.5,31,0,0,0,10
2001-01-14,36,32,34,10.5,31,0,0.15,T,8
2001-01-15,35,31,33,9.5,32,0,0.05,T,6
2001-01-16,31,26,28.5,5,36,0,T,T,6
2001-01-17,26,19,22.5,-0.9,42,0,0,0,6
2001-01-18,31,19,25,1.6,40,0,0,0,6
2001-01-19,27,17,22,-1.4,43,0,T,T,5
2001-01-20,24,11,17.5,-5.9,47,0,T,T,5
2001-01-21,25,9,17,-6.5,48,0,0,0,5
2001-01-22,29,6,17.5,-6,47,0,0,0,5
2001-01-23,35,21,28,4.5,37,0,0,0,5
2001-01-24,28,16,22,-1.6,43,0,T,T,5
2001-01-25,25,13,19,-4.6,46,0,0,0,5
2001-01-26,31,21,26,2.3,39,0,0.06,1,5
2001-01-27,26,15,20.5,-3.3,44,0,0,0,5
2001-01-28,29,14,21.5,-2.4,43,0,0.03,0.1,5
2001-01-29,42,29,35.5,11.5,29,0,0.62,0,5
2001-01-30,40,32,36,11.9,29,0,0.21,0.4,2
2001-01-31,35,27,31,6.8,34,0,0,0,2
2001-02-01,32,4,18,-6.3,47,0,T,T,2
2001-02-02,12,-2,5,-19.5,60,0,0,0,1
2001-02-03,30,10,20,-4.7,45,0,0.01,0.3,1
2001-02-04,34,26,30,5.2,35,0,0.03,0.1,2
2001-02-05,32,26,29,4,36,0,0.01,0.2,1
2001-02-06,36,20,28,2.8,37,0,T,T,1
2001-02-07,35,17,26,0.6,39,0,0.05,T,T
2001-02-08,53,34,43.5,17.8,21,0,0.58,0,0
2001-02-09,54,20,37,11.1,28,0,0.52,1.1,0
2001-02-10,20,12,16,-10.2,49,0,0,0,1
2001-02-11,27,10,18.5,-7.9,46,0,0,0,1
2001-02-12,38,20,29,2.3,36,0,0,0,1
2001-02-13,38,31,34.5,7.5,30,0,0.01,0,0
2001-02-14,37,28,32.5,5.2,32,0,0.22,0.1,T
2001-02-15,32,26,29,1.4,36,0,0,0,0
2001-02-16,31,14,22.5,-5.4,42,0,0,0,0
2001-02-17,19,6,12.5,-15.7,52,0,0,0,0
2001-02-18,28,7,17.5,-11,47,0,0,0,0
2001-02-19,42,28,35,6.2,30,0,0,0,0
2001-02-20,36,18,27,-2.2,38,0,0,0,0
2001-02-21,21,9,15,-14.5,50,0,0,0,0
2001-02-22,27,19,23,-6.9,42,0,0.03,0.4,T
2001-02-23,30,18,24,-6.2,41,0,T,T,0
2001-02-24,56,30,43,12.4,22,0,1.11,0,0
