GEOGNAME,GEOGKEYX,P0050001,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,P0130001,P0150001,P0170001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004
Geog,GeogKey,Total Population,"Not Hispanic or Latino, White alone","Not Hispanic or Latino, Black or African American alone","Not Hispanic or Latino, American Indian and Alaska Native alone","Not Hispanic or Latino, Asian alone","Not Hispanic or Latino, Native Hawaiian and Other Pacific Islander alone","Not Hispanic or Latino, Some Other Race alone","Not Hispanic or Latino, Two or More Races",Hispanic or Latino,Male: Under 5 years old,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: Under 5 years old,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Median Age,Total Households,Average Household Size,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Occupied Housing Units,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
Rogers Park,1,54991,21618,14461,142,3523,39,202,1573,13433,1892,1426,1186,816,802,522,554,1700,2970,2883,2587,2286,2024,1814,1384,518,585,327,356,460,292,200,168,1845,1396,1153,711,1087,602,797,1801,2877,2703,2252,1742,1753,1620,1436,486,661,308,383,534,392,312,388,32.4,24292,2.13,27564,24292,3272,24292,6128,1009,17155
West Ridge,2,71942,30706,8015,189,16184,3,225,1919,14701,2940,2611,2296,1436,856,422,442,1582,2890,2767,2628,2534,2461,2317,2200,789,904,506,587,781,624,502,447,2776,2597,2316,1344,833,429,424,1449,2793,2687,2569,2367,2514,2408,2316,794,1026,561,718,1056,799,713,931,35.1,24755,2.85,27466,24755,2711,24755,8829,3367,12559
Uptown,3,56362,29098,11275,191,6414,10,130,1235,8009,1453,954,843,547,358,228,303,1661,3964,3797,2932,2640,2465,2080,1730,493,657,361,463,584,417,320,262,1435,898,752,483,383,238,296,1771,3907,3293,2381,1887,1503,1588,1363,561,679,360,475,763,620,524,690,35.5,29719,1.79,32541,29719,2822,29719,8298,1230,20191
Lincoln Square,4,39493,24916,1488,72,4399,11,128,917,7562,1313,883,718,465,286,151,198,850,2451,2696,2048,1595,1296,1102,1034,359,429,210,281,403,241,181,119,1297,877,641,388,300,122,184,954,2967,2754,1961,1505,1242,1151,1080,322,493,256,323,436,340,275,316,33.5,18194,2.14,19906,18194,1712,18194,5482,1406,11306
North Center,5,31867,24634,738,55,1449,16,51,594,4330,1453,885,486,218,137,95,95,640,2300,2274,1814,1441,1000,715,597,207,274,169,196,228,157,92,84,1423,833,524,199,131,81,102,760,2704,2353,1781,1254,877,752,624,261,314,159,218,319,257,181,203,32.5,14561,2.18,16197,14561,1636,14561,5805,1147,7609
Lake View,6,94368,75845,3651,110,5653,44,140,1727,7198,2228,1121,682,338,316,450,533,4534,11158,7300,4397,3409,2690,1926,1600,629,849,420,588,669,513,377,273,2141,1076,670,360,402,468,576,6231,12483,6479,3521,2475,1805,1640,1418,652,962,532,657,861,630,549,780,30.4,54425,1.72,59529,54425,5104,54425,16640,3488,34297
Lincoln Park,7,64116,53138,2753,54,3296,17,116,1171,3571,1600,1032,765,400,1015,625,604,2831,5910,3640,2303,2008,1571,1434,1173,498,704,391,532,578,381,255,180,1583,1052,746,398,1544,931,802,3791,6714,3548,2306,1853,1651,1384,1316,543,770,431,532,540,387,345,519,28.9,33536,1.80,36864,33536,3328,33536,11409,2963,19164
Near North Side,8,80484,58033,8732,79,8140,25,163,1338,3974,1339,692,572,373,367,306,400,2496,6957,4956,3026,2326,2149,2132,2063,896,1352,711,1017,1299,851,621,436,1308,712,614,347,518,480,556,3509,8491,4985,2915,2343,2425,2460,2587,1101,1659,897,1166,1445,1019,802,808,35.2,51714,1.52,62364,51714,10650,51714,17237,5991,28486
Edison Park,9,11187,9885,29,3,269,1,8,120,872,311,391,342,179,77,40,48,179,348,318,385,448,452,432,401,130,161,77,111,145,176,108,108,337,335,327,176,81,35,40,195,354,359,417,466,442,445,404,141,164,95,147,233,207,205,215,41.4,4726,2.37,4964,4726,238,4726,2478,1186,1062
