Rail_Line,Year,Rides
Burlington Northern/Santa Fe,2008,17043
Metra Electric,2008,11266
Heritage Corridor,2008,746
Milwaukee-North,2008,7774
Milwaukee-West,2008,6902
North Central Service,2008,1610
Rock Island,2008,9642
SouthWest Service,2008,2541
Union Pacific-North,2008,10499
Union Pacific-Northwest,2008,10613
Union Pacific-West,2008,8170
Total passenger trips,2008,86806
Burlington Northern/Santa Fe,2009,16205
Metra Electric,2009,10406
Heritage Corridor,2009,722
Milwaukee-North,2009,7145
Milwaukee-West,2009,6631
North Central Service,2009,1618
Rock Island,2009,8891
SouthWest Service,2009,2478
Union Pacific-North,2009,10566
Union Pacific-Northwest,2009,10062
Union Pacific-West,2009,7561
Total passenger trips,2009,82285
Burlington Northern/Santa Fe,2010,16286
Metra Electric,2010,10015
Heritage Corridor,2010,696
Milwaukee-North,2010,6883
Milwaukee-West,2010,6716
North Central Service,2010,1585
Rock Island,2010,8554
SouthWest Service,2010,2451
Union Pacific-North,2010,10120
Union Pacific-Northwest,2010,10286
Union Pacific-West,2010,7777
Total passenger trips,2010,81369
Burlington Northern/Santa Fe,2007,16344
Metra Electric,2007,11726
Heritage Corridor,2007,740
Milwaukee-North,2007,7013
Milwaukee-West,2007,6519
North Central Service,2007,1418
Rock Island,2007,9920
SouthWest Service,2007,2404
Union Pacific-North,2007,9200
Union Pacific-Northwest,2007,10132
Union Pacific-West,2007,7928
Total passenger trips,2007,83344
Burlington Northern/Santa Fe,2011,16571
Metra Electric,2011,10029
Heritage Corridor,2011,706
Milwaukee-North,2011,7014
Milwaukee-West,2011,7052
North Central Service,2011,1686
Rock Island,2011,8599
SouthWest Service,2011,2558
Union Pacific-North,2011,9442
Union Pacific-Northwest,2011,11052
Union Pacific-West,2011,7948
Total passenger trips,2011,82657
Burlington Northern/Santa Fe,2012,16360
Metra Electric,2012,9673
Heritage Corridor,2012,683
Milwaukee-North,2012,6893
Milwaukee-West,2012,6860
North Central Service,2012,1690
Rock Island,2012,8491
SouthWest Service,2012,2531
Union Pacific-North,2012,9056
Union Pacific-Northwest,2012,11025
Union Pacific-West,2012,8008
Total passenger trips,2012,81270
Burlington Northern/Santa Fe,2013,16554
Metra Electric,2013,9556
Heritage Corridor,2013,704
Milwaukee-North,2013,7041
Milwaukee-West,2013,6831
North Central Service,2013,1685
Rock Island,2013,8589
SouthWest Service,2013,2606
Union Pacific-North,2013,9270
Union Pacific-Northwest,2013,11180
Union Pacific-West,2013,8252
Total passenger trips,2013,82268
Burlington Northern/Santa Fe,2014,16658
Metra Electric,2014,9416
Heritage Corridor,2014,729
Milwaukee-North,2014,7238
Milwaukee-West,2014,6946
North Central Service,2014,1817
Rock Island,2014,8545
SouthWest Service,2014,2659
Union Pacific-North,2014,9329
Union Pacific-Northwest,2014,11609
Union Pacific-West,2014,8423
Total passenger trips,2014,83369
Burlington Northern/Santa Fe,2015,16400
Metra Electric,2015,9055
Heritage Corridor,2015,724
Milwaukee-North,2015,7095
Milwaukee-West,2015,6772
North Central Service,2015,1758
Rock Island,2015,8305
SouthWest Service,2015,2604
Union Pacific-North,2015,9249
Union Pacific-Northwest,2015,11302
Union Pacific-West,2015,8367
Total passenger trips,2015,81631
Burlington Northern/Santa Fe,2016,16325
Metra Electric,2016,8642
Heritage Corridor,2016,718
Milwaukee-North,2016,6935
Milwaukee-West,2016,6621
North Central Service,2016,1731
Rock Island,2016,8113
SouthWest Service,2016,2538
Union Pacific-North,2016,9220
Union Pacific-Northwest,2016,11184
Union Pacific-West,2016,8375
Total passenger trips,2016,80402
Burlington Northern/Santa Fe,2017,16227
Metra Electric,2017,8150
Heritage Corridor,2017,727
Milwaukee-North,2017,6819
Milwaukee-West,2017,6350
North Central Service,2017,1684
Rock Island,2017,7924
SouthWest Service,2017,2457
Union Pacific-North,2017,9029
Union Pacific-Northwest,2017,10910
Union Pacific-West,2017,8332
Total passenger trips,2017,78609
