"TO_STATION_ID","TO_STATION_NAME","TO_LATITUDE","TO_LONGITUDE","TOTAL_DURATION"
35,"Streeter Dr & Grand Ave",41.892278,-87.612043,469992965
76,"Lake Shore Dr & Monroe St",41.880958,-87.616743,396754905
177,"Theater on the Lake",41.926277,-87.630834,370722559
85,"Michigan Ave & Oak St",41.90096,-87.623776,369016876
90,"Millennium Park",41.881031,-87.624084,344723608
268,"Lake Shore Dr & North Blvd",41.911722,-87.626804,337381528
35,"Streeter Dr & Illinois St",41.891071,-87.6122,264397622
360,"DIVVY Map Frame B/C Station",NA,NA,251058152
43,"Michigan Ave & Washington St",41.883892,-87.624649,158901379
3,"Shedd Aquarium",41.867225,-87.615355,158356779
